#Dep	POS	Category	Pcategory	FCCategory	WORD	Sense	Arg1	Role	Arg2	Function	ضریب اطمینان
OBJ	o	OBJ	o	o	o	o	parent	Theme	this	o	1
OBJ	o	ACT	o	o	o	o	parent	Theme	this	o	1
OBJ	o	LOC	o	o	o	o	parent	Theme	this	o	1
OBJ	o	TIME	o	o	o	o	parent	Theme	this	o	1
VPP	o	o	o	ANM	o	o	parent	Patient	firstchild	o	1
VPP	o	o	o	OBJ	o	o	parent	Theme	firstchild	o	0.8
VPP	o	o	o	ACT	o	o	parent	Theme	firstchild	o	0.7
VPP	o	o	o	LOC	از	o	parent	Place	firstchild	o	0.6
VPP	o	o	o	LOC	به،تا	o	parent	EndPlace	firstchild	o	0.9
VPP	o	o	o	LOC	با،برای،علیه،درباره	o	parent	Theme	firstchild	o	1
VPP	o	o	o	LOC	o	o	parent	Place	firstchild	o	0.9
VPP	o	o	o	TIME	از	o	parent	StartTime	firstchild	o	1
VPP	o	o	o	TIME	تا	o	parent	EndTime	firstchild	o	1
VPP	o	o	o	TIME	o	o	parent	Time	firstchild	o	1
VPP	PREP	o	o	o	o	o	this	firstchild	parent	Compound3_V	1
ADVC	o	LOC	o	o	o	o	parent	Place	this	o	1
ADVC	o	TIME	o	o	o	o	parent	Time	this	o	1
ADVC	PREP	o	o	LOC	o	o	parent	Place	firstchild	o	1
ADVC	PREP	o	o	TIME	o	o	parent	Time	firstchild	o	1
ADVC	PREP	o	o	o	o	o	this	firstchild	parent	Compound3_V	1
ADVC	o	o	o	o	o	o	parent	Manner	this	o	1
VCL	CONJ	o	o	o	o	o	parent	Theme	firstchild	o	1
VCL	SUBR	o	o	o	o	o	parent	Theme	firstchild	o	1
VCL	o	o	o	o	o	o	parent	Theme	this	o	1
MOS	ADJ	o	o	o	o	o	this	o	parent	Compound2_V	1
MOS	o	o	o	o	o	o	OBJ	Description	this	o	0.5
MOS	o	o	o	o	o	o	SBJ	Description	this	o	0.5
MOS	PREP	o	o	o	o	o	this	firstchild	parent	Compound3_V	1
MOS	o	o	o	o	o	o	this	o	parent	Compound2_V	0.9
TAM	N	o	o	o	o	o	OBJ	Description	this	o	0.4
TAM	N	o	o	o	o	o	SBJ	Description	this	o	0.8
TAM	ADJ	o	o	o	o	o	OBJ	Description	this	o	0.5
TAM	ADJ	o	o	o	o	o	SBJ	Description	this	o	1
TAM	PREP	o	o	o	o	o	parent	Theme	firstchild	o	0.9
TAM	o	o	o	o	o	o	parent	Theme	this	o	1
ADV	o	o	o	ANM	در،داخل	o	parent	Patient	firstchild	o	0.8
ADV	o	o	o	LOC	در،داخل	o	parent	Place	firstchild	o	1
ADV	o	ANM	o	o	به وسیله،توسط	o	parent	Agent	this	o	1
ADV	o	ANM	o	o	o	o	parent	Patient	this	o	1
ADV	o	OBJ	o	o	از طریق،به وسیله،توسط	o	parent	Instrument	this	o	1
ADV	o	ACT	o	o	از طریق،به وسیله،توسط	o	parent	Cause	this	o	1
ADV	o	OBJ	o	o	توی،زیر،پشت،میان،کنار،بین،جلو،مقابل،دور،داخل،بالای،وسط،درون،پای،لای،مابین،نزدیک،بیرون،گرداگرد،عقب،روبرو،لب	o	parent	Place	this	o	1
ADV	o	Time	o	o	o	o	parent	Time	this	o	0.8	
ADV	ADJ	o	o	o	o	o	parent	Manner	this	o	0.95
ADV	ADV	o	o	o	o	o	parent	Manner	this	o	0.8
ADV	o	OBJ	o	o	o	o	parent	Theme	this	o	0.7
ADV	o	ACT	o	o	برای،به منظور،به خاطر، به دلیل،به علت،به دنبال	o	parent	Cause	this	o	0.9
ADV	o	ACT	o	o	با	o	parent	Manner	this	o	0.9
ADV	o	ACT	o	o	o	o	parent	Theme	this	o	1
ADV	o	LOC	o	o	از	o	parent	StartPlace	this	o	1
ADV	o	LOC	o	o	به،تا	o	parent	EndPlace	this	o	0.3
ADV	o	LOC	o	o	توسط	o	parent	Agent	this	o	1
ADV	o	LOC	o	o	o	o	parent	Place	this	o	1
ADV	o	TIME	o	o	از	o	parent	StartTime	this	o	0.9
ADV	o	TIME	o	o	تا	o	parent	EndTime	firstchild	o	0.9
ADV	o	TIME	o	o	o	o	parent	Time	this	o	1
AJUCL	V	o	o	o	o	o	parent	Cause	this	o	0.3
AJUCL	o	o	o	o	که	o	parent	Cause	firstchild	o	0.3
AJUCL	o	o	o	o	o	o	parent	Cause	firstchild	o	0.9
PARCL	o	o	o	o	o	o	this	o	parent	CopySbj	1
VCONJ	CONJ	o	o	o	o	o	firstchild	o	parent	CopySbj	1
VCONJ	o	o	o	o	o	o	this	o	parent	CopySbj	1
MOZ	o	ANM	A_T	o	o	o	parent	Patient	this	o	1
MOZ	o	o	NUM	o	o	o	parent	Measure	this	o	1
MOZ	o	o	o	o	o	تمامی،تمام،همه	parent	o	this	Compound2	1
MOZ	o	LOC	LOC	o	o	o	this	Has	parent	o	0.7
MOZ	o	LOC	ANM	o	o	o	this	Has	parent	o	0.9
MOZ	o	LOC	OBJ	o	o	o	this	Has	parent	o	0.7
MOZ	o	LOC	ACT	o	o	o	parent	Place	this	o	0.7
MOZ	o	LOC	o	o	o	o	this	o	parent	Compound2	0.7
MOZ	o	ANM	LOC	o	o	o	this	Has	parent	o	0.7
MOZ	o	ANM	ANM	o	o	o	this	Has	parent	o	0.7
MOZ	o	ANM	OBJ	o	o	o	this	o	parent	Compound2	0.7
MOZ	o	ANM	ACT	o	o	o	parent	Agent	this	o	0.8
MOZ	o	ANM	o	o	o	o	this	Has	parent	o	0.5
MOZ	o	OBJ	LOC	o	o	o	this	o	parent	Compound2	0.6
MOZ	o	OBJ	ANM	o	o	o	this	o	parent	Compound2	0.6
MOZ	o	OBJ	OBJ	o	o	o	this	o	parent	Compound2	0.6
MOZ	o	OBJ	ACT	o	o	o	parent	Theme	this	o	0.7
MOZ	o	OBJ	o	o	o	o	this	o	parent	Compound2	0.6
MOZ	o	ACT	LOC	o	o	o	this	o	parent	Compound2	0.8
MOZ	o	ACT	ANM	o	o	o	this	o	parent	Compound2	0.7
MOZ	o	ACT	OBJ	o	o	o	this	o	parent	Compound2	0.7
MOZ	o	ACT	ACT	o	o	o	parent	Theme	this	o	0.8
MOZ	o	ACT	o	o	o	o	parent	o	this	Compound2	0.8
MOZ	o	TIME	TIME	o	o	o	parent	o	this	Compound2	0.8
MOZ	o	o	o	o	o	o	parent	o	this	Compound2	0.8
NPOSTMOD	o	o	o	o	و	o	parent	Description	firstchild	o	1
NPOSTMOD	o	o	o	o	o	o	parent	Description	this	o	0.8
NPREMOD	NUM	o	o	o	o	o	parent	o	this	Compound2	1
NPREMOD	PRENUM	o	o	o	o	o	parent	o	this	Compound2	1
NPREMOD	o	o	o	o	o	o	parent	o	this	Compound2	0.9
NPP	o	o	ACT	ANM	o	o	parent	Patient	firstchild	o	1
NPP	o	o	o	ANM	o	o	parent	this	firstchild	Compound3_V	0.9
NPP	o	o	o	OBJ	o	o	parent	Theme	firstchild	o	0.8
NPP	o	o	o	ACT	o	o	parent	Theme	firstchild	o	0.7
NPP	o	o	o	LOC	از	o	parent	StartPlace	firstchild	o	0.5
NPP	o	o	o	LOC	به،تا	o	parent	EndPlace	firstchild	o	0.9
NPP	o	o	o	LOC	علیه،با،برای،درباره	o	parent	Patient	firstchild	o	0.8
NPP	o	o	o	LOC	o	o	parent	Place	firstchild	o	1
NPP	o	o	o	TIME	از	o	parent	StartTime	firstchild	o	1
NPP	o	o	o	TIME	تا	o	parent	EndTime	firstchild	o	1
NPP	o	o	o	TIME	o	o	parent	Time	firstchild	o	1
NADV	o	o	o	o	o	o	parent	Theme	this	o	0.5
APP	o	o	o	o	o	o	parent	Description	this	o	0.8
MESU	N	o	o	o	o	o	this	o	parent	Compound2	0.8
AJPP	o	o	o	ANM	o	o	parent	Patient	FirstChild	o	0.9
AJPP	o	o	o	OBJ	o	o	parent	Theme	FirstChild	o	0.9
AJPP	o	o	o	ACT	o	o	parent	Theme	FirstChild	o	1
AJPP	o	o	o	LOC	o	o	parent	Place	FirstChild	o	1
AJPP	o	o	o	TIME	o	o	parent	Time	FirstChild	o	1
NEZ	o	ANM	o	N	o	o	parent	Patient	this	o	1
NEZ	o	o	o	N	o	o	parent	Theme	this	o	1
ACL	o	o	o	o	که،تا	o	parent	Theme	firstchild	o	1
ACL	o	o	o	o	o	o	parent	Theme	this	o	1
APREMOD	o	o	o	o	o	o	this	o	parent	Compound2	0.9
COMPPP	o	o	o	o	o	o	parent	this	firstchild	Compound3	1
NCONJ	N	o	o	o	o	o	parent	o	this	Transfer	0.9
AJCONJ	ADJ	o	o	o	o	o	parent	o	this	Transfer	0.9
ADCONJ	ADV	o	o	o	o	o	parent	o	this	Transfer	1
NCONJ	o	o	o	o	o	o	parent	o	firstchild	Transfer	1
AJCONJ	o	o	o	o	o	o	parent	o	firstchild	Transfer	1
AVCONJ	o	o	o	o	o	o	parent	o	firstchild	Transfer	1
PCONJ	o	o	o	o	o	o	parent	o	firstchild	Transfer2	1
PREDEP	IDEN	o	o	o	o	o	this	o	parent	Compound2	0.9
PREDEP	PRENUM	o	o	o	o	o	this	o	parent	Compound2	1
PREDEP	o	NUM	o	o	o	o	this	o	parent	Compound2	1
