#Dep	POS	Category	Pcategory	FCCategory	WORD	Sense	Arg1	Role	Arg2	Function
ADV	o	LOC	o	o	از	o	parent	StartLocation	this	o
ADV	o	LOC	o	o	به،تا	o	parent	EndLocation	this	o
ADV	o	LOC	o	o	o	o	parent	Location	this	o
ADV	o	TIME	o	o	از	o	parent	StartTime	this	o
ADV	o	TIME	o	o	تا	o	parent	EndTime	this	o
ADV	o	TIME	o	o	o	o	parent	Time	this	o
AJUCL	V	o	o	o	o	o	parent	Theme	this	o
AJUCL	o	o	o	o	که	o	parent	Theme	firstchild	o
AJUCL	o	o	o	o	o	o	parent	Cause	firstchild	o
PARCL	o	o	o	o	o	o	this	o	parent	CopySbj
VCONJ	CONJ	o	o	o	o	o	firstchild	o	parent	CopySbj
VCONJ	o	o	o	o	o	o	this	o	parent	CopySbj
MOZ	o	LOC	LOC	o	o	o	this	PartOf	parent	o
MOZ	o	LOC	ANM	o	o	o	this	PartOf	parent	o
MOZ	o	LOC	OBJ	o	o	o	this	PartOf	parent	o
MOZ	o	LOC	ACT	o	o	o	this	Location	parent	o
MOZ	o	LOC	o	o	o	o	this	PartOf	parent	o
MOZ	o	ANM	LOC	o	o	o	this	PartOf	parent	o
MOZ	o	ANM	ANM	o	o	o	this	PartOf	parent	o
MOZ	o	ANM	OBJ	o	o	o	this	PartOf	parent	o
MOZ	o	ANM	ACT	o	o	o	this	Agent	parent	o
MOZ	o	ANM	o	o	o	o	this	PartOf	parent	o
MOZ	o	OBJ	LOC	o	o	o	this	PartOf	parent	o
MOZ	o	OBJ	ANM	o	o	o	this	PartOf	parent	o
MOZ	o	OBJ	OBJ	o	o	o	this	PartOf	parent	o
MOZ	o	OBJ	ACT	o	o	o	this	Theme	parent	o
MOZ	o	OBJ	o	o	o	o	this	PartOf	parent	o
MOZ	o	ACT	LOC	o	o	o	this	Location	parent	o
MOZ	o	ACT	ANM	o	o	o	this	PartOf	parent	o
MOZ	o	ACT	OBJ	o	o	o	this	PartOf	parent	o
MOZ	o	ACT	ACT	o	o	o	this	Theme	parent	o
MOZ	o	ACT	o	o	o	o	this	o	parent	Compound
MOZ	o	TIME	TIME	o	o	o	this	o	parent	Compound
MOZ	o	TIME	o	o	o	o	this	Time	parent	o
MOZ	o	o	o	o	o	o	this	o	parent	Compound
NPOSTMOD	o	o	o	o	o	o	parent	Description	this	o
NPREMOD	o	PREM	o	o	o	o	parent	o	this	Compound
NPREMOD	NUM	o	o	o	o	o	parent	Measure	this	o
NPREMOD	o	o	o	o	o	o	parent	Description	this	o
NPP	o	o	o	ANM	o	o	parent	Patient	firstchild	o
NPP	o	o	o	OBJ	o	o	parent	Theme	firstchild	o
NPP	o	o	o	ACT	o	o	parent	Theme	firstchild	o
NPP	o	o	o	LOC	از	o	parent	StartLocation	firstchild	o
NPP	o	o	o	LOC	به،تا	o	parent	EndLocation	firstchild	o
NPP	o	o	o	LOC	با،برای،علیه،درباره	o	parent	Theme	firstchild	o
NPP	o	o	o	LOC	o	o	parent	Location	firstchild	o
NPP	o	o	o	TIME	از	o	parent	StartTime	firstchild	o
NPP	o	o	o	TIME	تا	o	parent	EndTime	firstchild	o
NPP	o	o	o	TIME	o	o	parent	Time	firstchild	o
NADV	o	o	o	o	o	o	parent	Theme	this	o
APP	o	o	o	o	o	o	parent	Description	this	o
MESU	N	o	o	o	o	o	parent	Measure	this	o
AJPP	o	o	o	ANM	o	o	parent	Patient	FirstChild	o
AJPP	o	o	o	OBJ	o	o	parent	Theme	FirstChild	o
AJPP	o	o	o	ACT	o	o	parent	Theme	FirstChild	o
AJPP	o	o	o	LOC	o	o	parent	Location	FirstChild	o
AJPP	o	o	o	TIME	o	o	parent	Time	FirstChild	o
NEZ	o	ANM	o	N	o	o	parent	Patient	this	o
NEZ	o	o	o	N	o	o	parent	Theme	this	o
ACL	o	o	o	o	که،تا	o	parent	Theme	firstchild	o
ACL	o	o	o	o	o	o	parent	Theme	this	o
APREMOD	o	o	o	o	o	o	parent	Description	this	o
APOSTMOD	o	o	o	o	o	o	parent	Description	this	o
COMPPP	o	o	o	o	o	o	this	Theme	firstchild	o
NCONJ	o	o	o	o	o	o	parent	o	firstchild	Transfer
AJCONJ	o	o	o	o	o	o	parent	o	firstchild	Transfer
AVCONJ	o	o	o	o	o	o	parent	o	firstchild	Transfer
PCONJ	o	o	o	o	o	o	parent	o	firstchild	Transfer
